formation_date,group,t,CAR
1998-01-31,Winner,1,0.02093724691774767
1998-01-31,Loser,1,0.004379788402139151
1998-01-31,Winner,2,-0.01812966338647442
1998-01-31,Loser,2,0.004659353616537339
1998-01-31,Winner,3,-0.028012135754049747
1998-01-31,Loser,3,0.034710432395091764
1998-01-31,Winner,4,-0.05984436766278468
1998-01-31,Loser,4,0.039468714632171824
1998-01-31,Winner,5,-0.039415360110888684
1998-01-31,Loser,5,0.02104167653139555
1998-01-31,Winner,6,-0.017762941091282358
1998-01-31,Loser,6,0.012952186886746752
1998-01-31,Winner,7,-0.08148455274722675
1998-01-31,Loser,7,0.017497541073181154
1998-01-31,Winner,8,-0.047277086455828995
1998-01-31,Loser,8,0.07283028003994765
1998-01-31,Winner,9,-0.02385659480193383
1998-01-31,Loser,9,0.020165618414774888
1998-01-31,Winner,10,0.036300677914085824
1998-01-31,Loser,10,-0.012476488433689946
1998-01-31,Winner,11,0.07364851023601085
1998-01-31,Loser,11,-0.0400609666870803
1998-01-31,Winner,12,0.10545090753715035
1998-01-31,Loser,12,-0.004162429950876663
1998-01-31,Winner,13,0.07533985329840456
1998-01-31,Loser,13,-0.021234751893706823
1998-01-31,Winner,14,0.10545501625703516
1998-01-31,Loser,14,-0.04483236776405141
1998-01-31,Winner,15,0.06377664507785641
1998-01-31,Loser,15,-0.06500214107855465
1998-01-31,Winner,16,0.07967359457643984
1998-01-31,Loser,16,-0.04281833644224924
1998-01-31,Winner,17,0.12978557572320504
1998-01-31,Loser,17,-0.04291528691515344
1998-01-31,Winner,18,0.14591661120018656
1998-01-31,Loser,18,-0.015035094012854123
1998-01-31,Winner,19,0.1810500859460611
1998-01-31,Loser,19,-0.02812140300643813
1998-01-31,Winner,20,0.16322219547013508
1998-01-31,Loser,20,-0.022592042540822758
1998-01-31,Winner,21,0.18786944563429228
1998-01-31,Loser,21,-0.029875668388602797
1998-01-31,Winner,22,0.21522750110997782
1998-01-31,Loser,22,-0.0015066714275543144
1998-01-31,Winner,23,0.2985498906900299
1998-01-31,Loser,23,-0.016889125042395425
1998-01-31,Winner,24,0.3638456251194662
1998-01-31,Loser,24,-0.01037132911085219
1998-01-31,Winner,25,0.47622519451562606
1998-01-31,Loser,25,0.005632462222815702
1998-01-31,Winner,26,0.4912640184735274
1998-01-31,Loser,26,-0.015752385868302177
1998-01-31,Winner,27,0.42875075589153705
1998-01-31,Loser,27,-0.009160212279499943
1998-01-31,Winner,28,0.38966419555871257
1998-01-31,Loser,28,-0.050006794517010664
1998-01-31,Winner,29,0.5033052683952964
1998-01-31,Loser,29,-0.07521149800006283
1998-01-31,Winner,30,0.498098074806299
1998-01-31,Loser,30,-0.0708165165958549
1998-01-31,Winner,31,0.5125700397211536
1998-01-31,Loser,31,-0.06152514769925839
1998-01-31,Winner,32,0.5032729855994755
1998-01-31,Loser,32,-0.09691505666805876
1998-01-31,Winner,33,0.4962796068420515
1998-01-31,Loser,33,-0.12122003332352406
1998-01-31,Winner,34,0.42175042770679083
1998-01-31,Loser,34,-0.08692032257765057
1998-01-31,Winner,35,0.38668086475834695
1998-01-31,Loser,35,-0.07456365140668188
1998-01-31,Winner,36,0.40888649610326944
1998-01-31,Loser,36,-0.07069109206249506
2001-01-31,Winner,1,-0.16078901011077246
2001-01-31,Loser,1,0.06361741016850497
2001-01-31,Winner,2,-0.22952359847313875
2001-01-31,Loser,2,0.06605779529103675
2001-01-31,Winner,3,-0.07987199439694705
2001-01-31,Loser,3,0.007656504484616996
2001-01-31,Winner,4,-0.11545971527012616
2001-01-31,Loser,4,0.05963126561251633
2001-01-31,Winner,5,-0.08373117927682387
2001-01-31,Loser,5,0.05890911199180995
2001-01-31,Winner,6,-0.12003654647000749
2001-01-31,Loser,6,0.11257941044104763
2001-01-31,Winner,7,-0.18978939862472896
2001-01-31,Loser,7,0.15653326406665655
2001-01-31,Winner,8,-0.2964108343574152
2001-01-31,Loser,8,0.2037696612955075
2001-01-31,Winner,9,-0.20787344544219785
2001-01-31,Loser,9,0.19207701737035615
2001-01-31,Winner,10,-0.14395476721652772
2001-01-31,Loser,10,0.13605132549143617
2001-01-31,Winner,11,-0.1596753378838924
2001-01-31,Loser,11,0.13075038433428968
2001-01-31,Winner,12,-0.20274393453785966
2001-01-31,Loser,12,0.1923146630136825
2001-01-31,Winner,13,-0.29316367743086325
2001-01-31,Loser,13,0.2182028912331737
2001-01-31,Winner,14,-0.2517738284184032
2001-01-31,Loser,14,0.21752567138891168
2001-01-31,Winner,15,-0.360081434248909
2001-01-31,Loser,15,0.25951516325892177
2001-01-31,Winner,16,-0.41559712116485237
2001-01-31,Loser,16,0.2789185496381918
2001-01-31,Winner,17,-0.4792060338674479
2001-01-31,Loser,17,0.3221647799894416
2001-01-31,Winner,18,-0.5192751988372651
2001-01-31,Loser,18,0.32131169859346387
2001-01-31,Winner,19,-0.5311341412177306
2001-01-31,Loser,19,0.31361340706307334
2001-01-31,Winner,20,-0.5611125690906927
2001-01-31,Loser,20,0.3543433330007345
2001-01-31,Winner,21,-0.4384808297114638
2001-01-31,Loser,21,0.2800686927561949
2001-01-31,Winner,22,-0.3022834923410807
2001-01-31,Loser,22,0.23402187037599778
2001-01-31,Winner,23,-0.41202418996405726
2001-01-31,Loser,23,0.2841098287327682
2001-01-31,Winner,24,-0.3926834309913835
2001-01-31,Loser,24,0.294820271903215
2001-01-31,Winner,25,-0.3735587671497214
2001-01-31,Loser,25,0.2756736066677239
2001-01-31,Winner,26,-0.4008516672891417
2001-01-31,Loser,26,0.2617191951174103
2001-01-31,Winner,27,-0.410661495046914
2001-01-31,Loser,27,0.24835515139836334
2001-01-31,Winner,28,-0.30403408054813746
2001-01-31,Loser,28,0.20309080310932331
2001-01-31,Winner,29,-0.3198500350755208
2001-01-31,Loser,29,0.1795400687410737
2001-01-31,Winner,30,-0.31254879363353416
2001-01-31,Loser,30,0.21746215679415706
2001-01-31,Winner,31,-0.26360502394196683
2001-01-31,Loser,31,0.2329513180002531
2001-01-31,Winner,32,-0.27554477292815843
